Codigo,Descripcion,presentacion,Rubro,Observaciones,Numero_Ingredientes,Cancer.Risk,Development.Risk,Allergies.Risk,Endocryne.Risk,Prohibited.Risk,Env.Risk,Total.Risk,HPC.score,norm.Cancer.Risk,norm.Development.Risk,norm.Allergies.Risk,norm.Endocryne.Risk,norm.Prohibited.Risk,norm.Env.Risk,norm.Total.Risk,norm.HPC.score,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62
2,Protector solar Vichy ideal soleil,,Cuidado Personal;Cuidado Corporal;Protectores Solares,,31,11.1290322580645,5.90322580645161,15.0838709677419,4.58064516129032,6.29032258064516,8.32258064516129,41.2935483870968,41.2935483870968,4.12649510692279,4.77880184331797,3.56236778320186,3.49575551782682,2.01098799914061,1.97904253133347,3.15225088221391,3.15225088221391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7899706149556,"Protector Solar Facial Antiacne FPS 30, L'Oréal Paris",,Cuidado Personal;Cuidado Facial;Protectores Solares,contiene Mexoryl sx (ecamsule) + xl ( trisloxano drometrizole),47,10.8297872340426,4.61702127659574,19.2872340425532,1.82978723404255,13.1489361702128,16.1702127659574,56.136170212766,56.136170212766,4.01553908677984,3.73758865248227,4.55507882076185,1.39641657334826,4.20365609247527,3.84514613542935,4.28530119084162,4.28530119084162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7793742003790,DERMAGLOS PROTECTOR SOLAR NINOS F50,x 180 ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,Contiene microplásticos,27,9.81481481481481,5.66666666666667,10.6666666666667,4.2962962962963,4.33333333333333,11.8888888888889,37.8333333333333,37.8333333333333,3.63920099875155,4.58730158730159,2.5191537217966,3.27875243664718,1.38534728829686,2.82708185892899,2.88810632738839,2.88810632738839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Cetaphil sun ultra mate & oil,50 ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,"protector solar en gel, con color",56,12.5714285714286,1.57142857142857,16.7,4.21428571428571,11.6428571428571,19.1964285714286,54.5821428571429,54.5821428571429,4.66131621187801,1.27210884353741,3.94405004568778,3.21616541353383,3.72216936251189,4.56475583864119,4.16667045325457,4.16667045325457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Cetaphil sun kids loción liposomal FPS 50+,150 ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,,25,5,3.08,6.64,3.84,2.8,11.04,27.9,27.9,1.85393258426966,2.49333333333333,1.56817319181838,2.93052631578947,0.895147478591819,2.6252229299363,2.1298193797569,2.1298193797569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Cetaphil UV defense FPS 50+,50 ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,Contiene microplásticos,35,10.7142857142857,5.48571428571429,10.1228571428571,5.02857142857143,12.5142857142857,18.9714285714286,53.1942857142857,53.1942857142857,3.97271268057784,4.44081632653062,2.39072186687284,3.83759398496241,4.00076117982874,4.51125265392781,4.06072475292514,4.06072475292514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Cetaphil UVA/UVB defense FPS 50+,50 ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,Contiene microplásticos,35,10.7142857142857,5.48571428571429,10.1228571428571,5.02857142857143,12.5142857142857,18.9714285714286,53.1942857142857,53.1942857142857,3.97271268057784,4.44081632653062,2.39072186687284,3.83759398496241,4.00076117982874,4.51125265392781,4.06072475292514,4.06072475292514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600542126885,DELIAL Sensitive Advanced leche solar Niños SPF-50+,50ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,Contiene microplásticos,29,8.89655172413793,6.06896551724138,14.2379310344828,4.68965517241379,9.3448275862069,15.448275862069,50.6793103448276,50.6793103448276,3.29872142580395,4.91297208538588,3.3625815896438,3.57894736842105,2.98749958988157,3.67347536422872,3.86873753853506,3.86873753853506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600541126885,DELIAL Sensitive Advanced leche solar Niños SPF-50+,50ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,Contiene microplásticos,29,8.89655172413793,6.06896551724138,14.2379310344828,4.68965517241379,9.3448275862069,15.448275862069,50.6793103448276,50.6793103448276,3.29872142580395,4.91297208538588,3.3625815896438,3.57894736842105,2.98749958988157,3.67347536422872,3.86873753853506,3.86873753853506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600541884809,DELIAL Sensitive Advanced leche solar Niños SPF-50+,200ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,Contiene microplásticos,29,8.89655172413793,6.06896551724138,14.2379310344828,4.68965517241379,9.3448275862069,15.448275862069,50.6793103448276,50.6793103448276,3.29872142580395,4.91297208538588,3.3625815896438,3.57894736842105,2.98749958988157,3.67347536422872,3.86873753853506,3.86873753853506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3600541889668,DELIAL Sensitive Advanced Niños Bruma Anti-Arena IP50+,200ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,Contiene microplásticos,29,4.17241379310345,5.72413793103448,9.62068965517241,4.06896551724138,6.10344827586207,18.7241379310345,44.6586206896552,44.6586206896552,1.54707477721813,4.63382594417077,2.27212463916352,3.10526315789474,1.95124511959054,4.45244893476828,3.40913246659642,3.40913246659642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005808488476,NIVEA Kids spray solar para niños SPF-50+ extra resistente al agua spray,300ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,,29,6.48275862068966,3.55172413793103,10.4827586206897,4.62068965517241,7.17241379310345,8.3448275862069,34.8206896551724,34.8206896551724,2.40371948857032,2.8752052545156,2.47572003693804,3.52631578947368,2.29298861511205,1.98433267442712,2.65812830265544,2.65812830265544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005808473908,NIVEA Protege & Hidrata spray solar SPF-30 resistente al agua spray,300ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,,29,6.31034482758621,2.48275862068966,7.6551724137931,1.6551724137931,4.82758620689655,10.551724137931,27.8034482758621,27.8034482758621,2.33979077876792,2.00985221674877,1.80792713223764,1.26315789473684,1.54335772171003,2.50911486931692,2.12244885168458,2.12244885168458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005900193780,NIVEA Protege & Hidrata spray solar SPF-50+ resistente al agua spray 300 ml,300ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,,29,6.48275862068966,3.55172413793103,10.4827586206897,4.62068965517241,7.17241379310345,8.3448275862069,34.8206896551724,34.8206896551724,2.40371948857032,2.8752052545156,2.47572003693804,3.52631578947368,2.29298861511205,1.98433267442712,2.65812830265544,2.65812830265544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005900619266,NIVEA Sensitive protección inmediata spray solar antialergias solares SPF-50+ resistente al agua spray,300ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,,29,8.51724137931035,3.6551724137931,9.89655172413793,4.68965517241379,6.41379310344828,7.68965517241379,33.1965517241379,33.1965517241379,3.15807826423867,2.95894909688013,2.33727516645136,3.57894736842105,2.05046097312905,1.8285379603192,2.53414549115309,2.53414549115309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005808418244,NIVEA Protege & Hidrata leche solar SPF-30 resistente al agua frasco,400ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,,29,5.72413793103448,4.6551724137931,10.2068965517241,3.75862068965517,6.86206896551724,10.5172413793103,36.5724137931035,36.5724137931035,2.12243316543975,3.76847290640394,2.41056950965017,2.86842105263158,2.19377276157355,2.50091514752177,2.79185074053908,2.79185074053908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005808423316,NIVEA Protege & Hidrata leche solar SPF-30 resistente al agua frasco,200ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,,29,5.72413793103448,4.6551724137931,10.2068965517241,3.75862068965517,6.86206896551724,10.5172413793103,36.5724137931035,36.5724137931035,2.12243316543975,3.76847290640394,2.41056950965017,2.86842105263158,2.19377276157355,2.50091514752177,2.79185074053908,2.79185074053908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005808416202,NIVEA Protege & Hidrata leche solar SPF-10 resistente al agua frasco,200ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,,29,5.82758620689655,4.6551724137931,9.75862068965517,3.75862068965517,5.20689655172414,10.7241379310345,34.6862068965517,34.6862068965517,2.16079039132119,3.76847290640394,2.30469990280744,2.86842105263158,1.66462154270154,2.5501134782927,2.64786220998327,2.64786220998327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3337875550628,La Roche-Posay Anthelios Dermo-Pedriatrics +50SPF,250ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,UVB+UVA,29,6.6551724137931,3.58620689655172,8.55172413793104,1.51724137931034,9.6551724137931,12.551724137931,36.5275862068966,36.5275862068966,2.46764819837272,2.90311986863711,2.01966634592313,1.1578947368421,3.08671544342007,2.98469873343582,2.78842870964836,2.78842870964836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7897930775701,Cetaphil Sun Ultra Matte & Oil Control FPS 70 sem cor,50ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,Contiene microplásticos,56,13.1785714285714,3.78571428571429,25.4053571428571,4.08928571428571,18.7678571428571,25.2321428571429,78.5982142857143,78.5982142857143,4.88643659711074,3.06462585034014,6,3.12077067669173,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7890704851335,"NIVEA PROTETOR LABIAL SUN PROTECT FPS30 4,8G",45 gr,Cuidado Personal;Cuidado Facial;Protectores Solares;Labial,,29,4.41379310344828,4.89655172413793,10.1551724137931,4.17241379310345,4.55172413793103,9.51724137931035,33.7344827586207,33.7344827586207,1.6365749709415,3.96387520525452,2.39835378578371,3.18421052631579,1.45516585189803,2.26312321546233,2.57520986184177,2.57520986184177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7899706134231,ANTHELIOS XL PROTECT PROTETOR SOLAR FLUIDO FPS70 120ML,120 ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,,28,8.35714285714286,6.32142857142857,13.8678571428571,4.46428571428571,8.67857142857143,11.7142857142857,45.8821428571429,45.8821428571429,3.09871589085072,5.11734693877551,3.27518099388486,3.40695488721804,2.7745004757374,2.78556263269638,3.50253322730887,3.50253322730887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7899706111829,PROTETOR SOLAR FACIAL ANTIOLEOSIDADE LA ROCHE-POSAY ANTHELIOS AIRLICIUM FPS 30 50G,50,Cuidado Personal;Cuidado Facial;Protectores Solares,,35,8.91428571428571,4.25714285714286,12.7857142857143,1.77142857142857,12.8857142857143,12.4571428571429,45.0485714285714,45.0485714285714,3.30529695024076,3.44625850340136,3.01961059956422,1.35187969924812,4.11950523311134,2.96220806794056,3.4389003748722,3.4389003748722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005900183125,Eucerin Sun Protetor Solar Facial Gel Creme Oil Control Fps60,52,Cuidado Personal;Cuidado Corporal;Protectores Solares,,27,4.2962962962963,7.03703703703704,9,4.66666666666667,7.44444444444444,14.0740740740741,42.6518518518519,42.6518518518519,1.59300873907615,5.69664902998237,2.12553595276587,3.56140350877193,2.37995559784333,3.34670126602186,3.25594052532596,3.25594052532596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,TheChemistLook Protector Solar,74,Cuidado Personal;Cuidado Corporal;Protectores Solares,"Clínica y dermatológicamente testeado. Cruelty-free. Fórmula sin parabenos, fragancia ni alcohol. Sin TACC. Contiene microplásticos",45,6.57777777777778,7.35555555555556,10.3333333333333,5.17777777777778,7.62222222222222,17.7777777777778,48.9244444444444,48.9244444444444,2.43895131086142,5.95449735449736,2.44043016799044,3.9514619883041,2.43679035838884,4.2274121255013,3.7347752660078,3.7347752660078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30162457,La Roche-Posay Anthelios 50+ Shaka fluido com cor,50ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,UVB +UVA antioxidante,26,6.07692307692308,2.07692307692308,8.36538461538461,1.38461538461538,6.57692307692308,9.61538461538461,28.6269230769231,28.6269230769231,2.25324114088159,1.68131868131868,1.97565841763494,1.05668016194332,2.10261289614287,2.28646088518699,2.18531095168605,2.18531095168605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205133,RoC MINESOL FPS 70,50 gr,Cuidado Personal;Cuidado Facial;Protectores Solares,UVB+UVA,41,12.0243902439024,6.09756097560976,10.1951219512195,3.92682926829268,7.02439024390244,14.4390243902439,42.8853658536585,42.8853658536585,4.45848177582898,4.93612078977933,2.40778869446107,2.99679075738126,2.24566614838366,3.43348350680958,3.27376642663393,3.27376642663393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7548608918,Hawaiian Tropic Baby,240 ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,UVB+UVA,37,9.81081081081081,5.32432432432432,18.5405405405405,4.43243243243243,12.972972972973,16.027027027027,58.2783783783784,58.2783783783784,3.63771636805344,4.31016731016731,4.37873172251467,3.38264580369843,4.14740144521307,3.81109772192573,4.44883224699197,4.44883224699197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"Aveeno Sunblock Spray, Continuous Protection, SPF 45",,Cuidado Personal;Cuidado Corporal;Protectores Solares,,19,9.42105263157895,6.15789473684211,9.73684210526316,6,9.10526315789474,8.57894736842105,40.5210526315789,40.5210526315789,3.49319929036073,4.98496240601504,2.29955644012682,4.57894736842105,2.91091191346588,2.04000446977315,3.09328040082029,3.09328040082029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Dermaglos protector solar spray FPS 40,170ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,UVB+UVA proteccion alta,29,1.79310344827586,4.06896551724138,18.3965517241379,7.86206896551724,7.6551724137931,6,44.1620689655172,44.1620689655172,0.664858581944981,3.29392446633826,4.34472578850801,6,2.44732438728305,1.42675159235669,3.37122689365302,3.37122689365302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7796045102276,Rayito de sol Protector Solar FPS 65 pomo,90 gr,Cuidado Personal;Cuidado Corporal;Protectores Solares,UVB+UVA proteccion alta,31,11.1612903225806,5.35483870967742,19.5322580645161,5.48387096774194,10.9032258064516,11.7096774193548,54.1,54.1,4.13845596230516,4.33486943164363,4.61294630609223,4.18505942275043,3.48571253184372,2.78446681734126,4.12986481881177,4.12986481881177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Avon Anew Solar Advance Ultra Matte Protector Solar FPS 50,50ml,Cuidado Personal;Cuidado Facial;Protectores Solares,uvb+uva,37,4.24324324324324,6.81081081081081,14.9324324324324,5.40540540540541,10.5135135135135,16.4594594594595,54.5459459459459,54.545945945946,1.57333738232614,5.51351351351351,3.52660244415358,4.12517780938834,3.36112325455808,3.91392666551902,4.16390726748559,4.1639072674856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Avene PROTECTOR SOLAR EMULSIÓN,50ml,Cuidado Personal;Cuidado Facial;Protectores Solares,uvb+uva,34,10.2352941176471,7.41176470588235,15.8705882352941,1.47058823529412,9.23529411764706,17.1470588235294,52.1588235294118,52.1588235294118,3.79510905485791,6,3.74816732062896,1.12229102167183,2.95248222980915,4.07743224678405,3.98168004223159,3.98168004223159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4005808555741,Nivea Sun Kids Protector Solar Hidratante FPS 50,200ml,Cuidado Personal;Cuidado Corporal;Niños;Protectores Solares,alta proteccion UVB UVA a partir de 2 años,28,8.75,4.5,6.83928571428571,2.21428571428571,5.78571428571429,8.28571428571428,28.5,28.5,3.24438202247191,3.64285714285714,1.61523863077248,1.68984962406015,1.84966698382493,1.97027600849256,2.1756219470635,2.1756219470635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7796045108063,Rayito de Sol Pediatric 60 Protector solar mousse,150ml,Cuidado Personal;Cuidado Corporal;Protectores Solares,"0% Alcohol, perfume, parabenos, aceites, colorantes, cruelty free, hipoalergénico, muy resiste al agua",27,14.8148148148148,4.92592592592593,14.0407407407407,5.25925925925926,12.6296296296296,7.74074074074074,46.0777777777778,46.0777777777778,5.49313358302121,3.98765432098766,3.31601102754543,4.01364522417154,4.0376361137541,1.84068569631202,3.51746753000871,3.51746753000871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,UV Defender Hidratación Intensa FPS 50+,40gr,Cuidado Personal;Cuidado Facial;Protectores Solares,rayos UVB/UVA,30,7.13333333333333,4.5,14.8033333333333,2.33333333333333,10,13.0333333333333,45.3833333333333,45.3833333333333,2.64494382022471,3.64285714285714,3.49611302453082,1.78070175438596,3.19695528068507,3.09922151450813,3.46445529932977,3.46445529932977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,ISDIN Foto Ultra Age Repair Fusion Water SPF 50,50ml,Cuidado Personal;Cuidado Facial;Protectores Solares,,41,8.48780487804878,5.51219512195122,16.8292682926829,1.80487804878049,16.3658536585366,19.6829268292683,61.0439024390244,61.0439024390244,3.14716360646752,4.46225319396051,3.97457942387113,1.37740693196406,5.23209022765776,4.68044119931645,4.65994575020157,4.65994575020157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,ISDIN Fotoprotector Fusion Water Urban SPF 30,50ml,Cuidado Personal;Cuidado Facial;Protectores Solares,,29,7.93103448275862,5.41379310344828,13.4655172413793,1.79310344827586,11.6551724137931,14.8275862068966,47.948275862069,47.948275862069,2.9407206509105,4.38259441707718,3.18016011323782,1.36842105263158,3.72610649955708,3.52588037191596,3.6602568873464,3.6602568873464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
